label,smarts,count
O=[C]([R])N([O][R])[C](=O)[R],[#8]=[#6](-[#0:1])-[#7](-[#6](-[#0:2])=[#8])-[#8]-[#0:3],4
O=[C]([R])O[I]([R])O[C](=O)[R],[#8]=[#6](-[#8]-[#53](-[#8]-[#6](=[#8])-[#0:1])-[#0:2])-[#0:3],4
C=CC([S][R])[S][R],[#6H2]=[#6H]-[#6](-[#16]-[#0:1])-[#16]-[#0:2],4
[R][N]1CSCSC1,[#0:1]-[#7]1-[#6]-[#16]-[#6H]-[#16]-[#6]-1,4
O=C([N](O)[R])[N]([R])[R],[#0:1]-[#7](-[#8])-[#6](-[#7](-[#0:2])-[#0:3])=[#8],4
C=CC=N[N]([R])[S](=O)(=O)[R],[#6H](\[#6]=[#6H])=[#7]\[#7](-[#16](-[#0:1])(=[#8])=[#8])-[#0:2],4
O=[C]([R])[N]([R])C[N]([R])C(=O)[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6]-[#7](-[#0:2])-[#6](-[#7](-[#6](-[#0:3])=[#8])-[#0:5])=[#8])-[#0:4],4
O=[C]1[R][N]([C](=O)[R])C=C[N]1[R],[#0:1]-[#6](=[#8])-[#7]1-[#6]=[#6]-[#7](-[#0:2])-[#6](=[#8])-[#0:3]-1,4
O=C1C([N]([R])[C](=O)[R])[N]([R])C(=O)[N]1[R],[#0:1]-[#6](=[#8])-[#7](-[#6H]1-[#7](-[#6](=[#8])-[#7](-[#0:2])-[#6]-1=[#8])-[#0:4])-[#0:3],4
O=[C]([R])OC[S][R],[#0:1]-[#16]-[#6H2]-[#8]-[#6](-[#0:2])=[#8],4
O=[C]([R])[N]([R])C(=O)[N]([R])C[N]([R])[S](=O)(=O)[R],[#0:1]-[#7](-[#6]-[#7](-[#0:2])-[#6](-[#7](-[#6](-[#0:3])=[#8])-[#0:5])=[#8])-[#16](=[#8])(=[#8])-[#0:4],4
O=C([N]=[Car])[N]([R])[R],[#0:1]=[#7]-[#6](-[#7](-[#0:2])-[#0:3])=[#8],4
N#CC(=C[N]([R])[R])[C](=O)[R],[#6H](-[#7](-[#0:2])-[#0:3])=[#6](-[#6]#[#7])-[#6](=[#8])-[#0:1],4
C=NC(C(=O)[N]([R])[R])[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6](-[#7]=[#6H2])-[#6](-[#7](-[#0:2])-[#0:3])=[#8])-[#0:4],4
C=CC=C([O][R])[N]([R])[R],[#6H]=[#6]/[#6]=[#6](/[#8]-[#0:1])-[#7](-[#0:2])-[#0:3],4
O=[C]([R])C=C[N]([R])C(=S)[N]([R])[R],[#0:1]-[#6](=[#8])-[#6H]=[#6H]-[#7](-[#6](=[#16])-[#7](-[#0:2])-[#0:4])-[#0:3],4
[R][O]C=C[O][R],[#6H](=[#6]-[#8]-[#0:1])-[#8]-[#0:2],4
O=C(C=N[N]([R])[C](=O)[R])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6H]=[#7]-[#7](-[#0:2])-[#6](=[#8])-[#0:3],4
O=[S](=O)([R])[N]=[Car],[#0:1]=[#7]-[#16](=[#8])(=[#8])-[#0:2],4
N#CC=C[N]([R])C(=O)[N]([R])[R],[#6H](=[#6H]-[#6]#[#7])-[#7](-[#6](-[#7](-[#0:1])-[#0:2])=[#8])-[#0:3],4
O=C1C=CS(=O)(=O)[N]1[R],[#6H]1=[#6H]-[#16](=[#8])(=[#8])-[#7](-[#0:1])-[#6]-1=[#8],4
O=[C]([R])[N]([R])C=N[O][R],[#0:1]-[#6](=[#8])-[#7](-[#6H]=[#7]-[#8]-[#0:2])-[#0:3],4
O=[C]([R])[N]([R])C(=O)C=C[N]([R])[N]([R])[R],[#0:1]-[#7](-[#7](-[#6]=[#6H]-[#6](=[#8])-[#7](-[#6](=[#8])-[#0:2])-[#0:5])-[#0:4])-[#0:3],4
C=CC=C1C(=O)C=CC1=O,[#6H]=[#6]-[#6]=[#6]1-[#6](=[#8])-[#6]=[#6]-[#6]-1=[#8],4
O=C1SC([N]([R])[C](=O)[R])C(=O)[N]1[R],[#0:1]-[#6](=[#8])-[#7](-[#0:2])-[#6]1-[#16]-[#6](=[#8])-[#7](-[#0:3])-[#6]-1=[#8],4
O=S([O][R])[N]([R])[R],[#0:1]-[#8]-[#16](=[#8])-[#7](-[#0:2])-[#0:3],4
O=C([N]([R])[R])[N]([R])[N]([R])[S](=O)(=O)[R],[#0:1]-[#16](=[#8])(=[#8])-[#7](-[#7](-[#6](=[#8])-[#7](-[#0:2])-[#0:5])-[#0:4])-[#0:3],4
S=[C]([Nar])[N]([R])[R],[#7]-[#6](=[#16])-[#7](-[#0:1])-[#0:2],4
O=C([N]=[Car])[O][R],[#0:2]-[#8]-[#6](=[#8])-[#7]=[#0:1],4
O=[C]1[R][C](=O)[N]1[R],[#0:1]1-[#6](=[#8])-[#7](-[#0:2])-[#6]-1=[#8],4
O=C(C(=O)[N]([R])[N]([R])[C](=O)[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6](=[#8])-[#7](-[#7](-[#6](=[#8])-[#0:2])-[#0:5])-[#0:4])-[#0:3],4
O[N]([R])C=[N][R],[#0:1]/[#7]=[#6]/[#7](-[#8])-[#0:2],4
[R][N]=CC=C([S][R])[N]([R])[R],[#0:1]-[#7](/[#6](=[#6]/[#6]=[#7]/[#0:2])-[#16]-[#0:3])-[#0:4],4
O=C(O)C=CC(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])/[#6]=[#6]/[#6](=[#8])-[#8],4
C=C(C(=O)[O][R])[N+](=O)[O-],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6H])-[#7+](=[#8])-[#8-],4
C=C([C](=O)[R])C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6H])-[#6](-[#0:2])=[#8],4
C=C(C(=O)[O][R])C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6H])-[#6](=[#8])-[#8]-[#0:2],4
O=C([O][R])C(=C[N]([R])[R])C(=[N][R])[N]([R])[C](=O)[R],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6H]-[#7](-[#0:2])-[#0:5])-[#6](=[#7]-[#0:3])-[#7](-[#6](=[#8])-[#0:4])-[#0:6],4
O=[C]([R])C=C([C](=O)[R])C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6H]-[#6](=[#8])-[#0:2])-[#6](-[#0:3])=[#8],4
O=C([O][R])C1C[N]1[R],[#0:1]-[#7]1-[#6]-[#6]-1-[#6](=[#8])-[#8]-[#0:2],4
C#C[O][R],[#0:1]-[#8]-[#6]#[#6H],4
O=[C]1[R][S]C(=S)[N]1[R],[#0:1]-[#7]1-[#6](=[#8])-[#0:2]-[#16]-[#6]-1=[#16],4
C=CC(=O)[N]([R])[S](=O)(=O)[R],[#6H](-[#6](=[#8])-[#7](-[#16](=[#8])(=[#8])-[#0:1])-[#0:2])=[#6H],4
O=[C]([R])P(=O)([O][R])[O][R],[#0:1]-[#8]-[#15](=[#8])(-[#8]-[#0:2])-[#6](=[#8])-[#0:3],4
O=P([O][R])([N]([R])[R])[N]([R])[R],[#8]=[#15](-[#7](-[#0:1])-[#0:5])(-[#8]-[#0:2])-[#7](-[#0:3])-[#0:4],4
O=[C]([R])C(=CO)C(=O)[N]([R])C[N]([R])[R],[#6H](-[#8])=[#6](-[#6](=[#8])-[#7](-[#6]-[#7](-[#0:1])-[#0:2])-[#0:4])-[#6](=[#8])-[#0:3],4
O=[S]([R])[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#16](=[#8])-[#0:3],4
O=S1(=O)N=C[N]([R])C[N]1[R],[#6H2]1-[#7](-[#16](=[#8])(=[#8])-[#7]=[#6H]-[#7]-1-[#0:1])-[#0:2],4
C=CC(=O)[N]([R])C[N]([R])C(=S)[N]([R])[R],[#0:1]-[#7](-[#6](=[#16])-[#7](-[#6H]-[#7](-[#6](=[#8])-[#6]=[#6H])-[#0:4])-[#0:3])-[#0:2],4
O=[C]([R])N([C](=O)[R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6](=[#8])-[#0:2])-[#6](-[#0:3])=[#8],4
O=C1C=CC(O)[N]1[R],[#6H]1=[#6]-[#6](=[#8])-[#7](-[#0:1])-[#6]-1-[#8],4
O=C(C1[S][R][C](=O)[N]1[R])[N]([R])[R],[#0:1]-[#7]1-[#6](=[#8])-[#0:2]-[#16]-[#6H]-1-[#6](=[#8])-[#7](-[#0:3])-[#0:4],4
C1N=N1,[#6H2]1-[#7]=[#7]-1,4
[R][N]=C(N=C([S][R])[N]([R])[R])[N]([R])[R],[#7](=[#6](-[#7](-[#0:3])-[#0:4])/[#7]=[#6](/[#7](-[#0:5])-[#0:6])-[#16]-[#0:1])-[#0:2],4
O=[C]1[R][C](=O)[N]([R])C(=[N][R])[N]1[R],[#7](=[#6]1-[#7](-[#6](=[#8])-[#0:1]-[#6](=[#8])-[#7]-1-[#0:4])-[#0:3])-[#0:2],4
O=C(C=CC(=O)[N]([R])[R])[N]([R])[R],[#7](-[#6](=[#8])/[#6]=[#6]/[#6](=[#8])-[#7](-[#0:1])-[#0:4])(-[#0:2])-[#0:3],4
O=C[C](=O)[R],[#0:1]-[#6](=[#8])-[#6]=[#8],4
O=c1cc[n]([R])c(=[N][R])[n]1[R],[#0:1]-[#7]1-[#6](=[#7]-[#0:2])-[#7](-[#0:3])-[#6](=[#8])-[#6H]=[#6H]-1,4
C=C(C(=O)[O][Na])N(C[S][R])[C](=O)[R],[#6H2]=[#6](-[#6](=[#8])-[#8]-[Na])-[#7](-[#6](=[#8])-[#0:1])-[#6H]-[#16]-[#0:2],4
O=C(O)C=CC(=O)O,[#6H](=[#6]-[#6](=[#8])-[#8])-[#6](=[#8])-[#8],4
O=C(O)C=CC(=O)[N]([R])[N]([R])[C](=O)[R],[#8]=[#6](-[#8])/[#6]=[#6]/[#6](=[#8])-[#7](-[#7](-[#6](=[#8])-[#0:1])-[#0:3])-[#0:2],4
O=[C]([R])C=CN=c1cc[n]([R])[n]1[R],[#6H]1=[#6H]-[#6](=[#7]-[#6H]=[#6H]-[#6](=[#8])-[#0:1])-[#7](-[#7]-1-[#0:3])-[#0:2],4
C=C(C(=O)OCO[C](=O)[R])N(C[S][R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6](-[#6](=[#8])-[#8]-[#6]-[#8]-[#6](=[#8])-[#0:2])=[#6H2])-[#6H2]-[#16]-[#0:3],3
ClC=N[O][R],[#6H](-[#17])=[#7]-[#8]-[#0:1],3
C=CC=C[N]([R])[R],[#6H]=[#6]/[#6]=[#6H]\[#7](-[#0:1])-[#0:2],3
C=C(C(=O)O)N1C(=O)C([O][R])([N]([R])[C](=O)[R])C1[S][R],[#0:1]-[#8]-[#6]1(-[#7](-[#6](=[#8])-[#0:2])-[#0:4])-[#6](=[#8])-[#7](-[#6](-[#6](=[#8])-[#8])=[#6H2])-[#6H]-1-[#16]-[#0:3],3
O=C(O)C1CO1,[#6H]1-[#8]-[#6]-1-[#6](=[#8])-[#8],3
C=NC=[N+]([O-])[R],[#6H2]=[#7]-[#6H]=[#7+](-[#8-])-[#0:1],3
O=[S](=O)([R])N1CC1,[#0:1]-[#16](=[#8])(=[#8])-[#7]1-[#6]-[#6H]-1,3
C=[N+]([O-])C[N](O)[R],[#6H2]=[#7+](-[#8-])-[#6H]-[#7](-[#8])-[#0:1],3
O=C1C=CC(=O)C([O][R])=C1[O][R],[#0:1]-[#8]-[#6]1=[#6](-[#8]-[#0:2])-[#6](=[#8])-[#6H]=[#6H]-[#6]-1=[#8],3
[O][N]([R])[R],[#0:2]-[#7](-[#8])-[#0:1],3
[R][N]=c1cccn[n]1[R],[#6]1=[#6]-[#6](=[#7]-[#0:1])-[#7](-[#0:2])-[#7]=[#6H]-1,3
[R][N]=c1scc[n]1[R],[#6H]1=[#6]-[#16]-[#6](=[#7]-[#0:1])-[#7]-1-[#0:2],3
O=[C]([R])C=C(O)C(=O)[O][R],[#8]=[#6](-[#8]-[#0:1])-[#6](=[#6H]-[#6](=[#8])-[#0:2])-[#8],3
O=C1C=CC(=O)N1[N]([R])[R],[#8]=[#6]1-[#6]=[#6]-[#6](=[#8])-[#7]-1-[#7](-[#0:1])-[#0:2],3
[R][N]1C=NOC1,[#6H2]1-[#7](-[#6H]=[#7]-[#8]-1)-[#0:1],3
O=[P]([R])([O][R])[N]([R])[R],[#0:1]-[#7](-[#15](=[#8])(-[#0:2])-[#8]-[#0:3])-[#0:4],3
O=[C]([R])C(O)([O][R])C([O][R])[O][R],[#0:1]-[#8]-[#6](-[#8])(-[#6](=[#8])-[#0:2])-[#6H](-[#8]-[#0:3])-[#8]-[#0:4],3
O=P(O)([O][R])OP(=O)([O][Na])OP(=O)([O][Na])[O][Na],[#0:1]-[#8]-[#15](=[#8])(-[#8])-[#8]-[#15](=[#8])(-[#8]-[Na])-[#8]-[#15](=[#8])(-[#8]-[Na])-[#8]-[Na],3
O=[P]([R])([R])[N]([R])[R],[#0:1]-[#7](-[#15](=[#8])(-[#0:2])-[#0:3])-[#0:4],3
C=CC=CO[Si]([R])([R])[R],[#6]=[#6]/[#6H]=[#6]/[#8]-[Si](-[#0:1])(-[#0:2])-[#0:3],3
O=[C]([R])C(=C[N]([R])[R])C(=O)[O][R],[#0:1]-[#6](=[#8])/[#6](=[#6]\[#7](-[#0:3])-[#0:4])-[#6](=[#8])-[#8]-[#0:2],3
O=C(O)C=CC=CC=CC=CC(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])/[#6]=[#6]/[#6]=[#6]/[#6]=[#6]/[#6]=[#6]/[#6](=[#8])-[#8],3
[R][O]COCOCO[O][R],[#0:1]-[#8]-[#6H2]-[#8]-[#6H2]-[#8]-[#6H2]-[#8]-[#8]-[#0:2],3
N#CC(C#N)=N[N]([R])[R],[#0:1]-[#7](-[#7]=[#6](-[#6]#[#7])-[#6]#[#7])-[#0:2],3
O=[C]([R])C=[N][R],[#0:1]-[#6](=[#8])-[#6H]=[#7]-[#0:2],3
C=C([N]([R])[R])[N]([R])[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#0:2])-[#7](-[#6](=[#6H])-[#7](-[#0:3])-[#0:4])-[#0:5],3
[R][S]C[N]([R])C[S][R],[#0:1]-[#7](-[#6]-[#16]-[#0:2])-[#6]-[#16]-[#0:3],3
O=[C]([R])C(=O)C=C[O][R],[#0:1]-[#8]-[#6H]=[#6H]-[#6](=[#8])-[#6](=[#8])-[#0:2],3
O=C(O)C=N[N]([R])[R],[#6H](=[#7]-[#7](-[#0:1])-[#0:2])-[#6](=[#8])-[#8],3
C=CC=C(C(=O)[N]([R])[R])[N]([R])[C](=O)[R],[#6H]=[#6]/[#6]=[#6](/[#7](-[#6](=[#8])-[#0:1])-[#0:3])-[#6](=[#8])-[#7](-[#0:2])-[#0:4],3
O=[S]([R])(=[N][R])[N]([R])[R],[#0:1]-[#16](=[#8])(=[#7]-[#0:2])-[#7](-[#0:3])-[#0:4],3
O=[C]([R])N=[S](=O)([R])[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#16](-[#0:3])(=[#8])=[#7]-[#6](=[#8])-[#0:4],3
C=C=C[Si]([R])([R])[R],[#6]=[#6]=[#6H]-[Si](-[#0:1])(-[#0:2])-[#0:3],3
C=CC1=CC([CH]=[Car])=NC1=O,[#6]=[#6]-[#6]1=[#6H]-[#6](-[#6]=[#6H2])=[#7]-[#6]-1=[#8],3
C=C1C=CC(=O)[N]1[R],[#6H]=[#6]1-[#7](-[#6](=[#8])-[#6H]=[#6H]-1)-[#0:1],3
O=[C]1[R][N]([R])N(C(=O)[N]([R])[R])C[N]1[R],[#0:1]-[#7]1-[#0:2]-[#6](=[#8])-[#7](-[#0:3])-[#6H2]-[#7]-1-[#6](=[#8])-[#7](-[#0:4])-[#0:5],3
C=CC=CC(=O)[N]([R])C1=CC(=O)C([N]([R])[R])=CC1=O,[#0:1]-[#7](-[#6]1=[#6H]-[#6](-[#6](-[#7](-[#6](-[#6H]=[#6]-[#6]=[#6H])=[#8])-[#0:3])=[#6]-[#6]-1=[#8])=[#8])-[#0:2],3
O=C1C=CC([S][R])([S][R])O1,[#6H]1=[#6H]-[#6](=[#8])-[#8]-[#6]-1(-[#16]-[#0:1])-[#16]-[#0:2],3
O=[S](=O)([R])[N]([Na])[R],[#0:1]-[#16](=[#8])(=[#8])-[#7](-[Na])-[#0:2],3
[R][S]C(=N[N]([R])C=C1C=CC=N1)[N]([R])[R],[#6]1=[#6]-[#6](=[#6H]-[#7](-[#7]=[#6](-[#16]-[#0:1])-[#7](-[#0:2])-[#0:3])-[#0:4])-[#7]=[#6]-1,3
O=C1[N]([R])C[N]1[R],[#6H2]1-[#7](-[#0:1])-[#6](=[#8])-[#7]-1-[#0:2],3
C=NO[S](=O)(=O)[R],[#6H2]=[#7]-[#8]-[#16](=[#8])(=[#8])-[#0:1],3
O=[S](=O)([R])[N]([R])C#C[Si]([R])([R])[R],[#0:1]-[#16](=[#8])(=[#8])-[#7](-[#6]#[#6]-[Si](-[#0:2])(-[#0:3])-[#0:4])-[#0:5],3
C=C(Br)Br,[#35]-[#6](-[#35])=[#6H],3
[R][N]=C[N]([R])C=[N][R],[#0:1]/[#7]=[#6H]\[#7](/[#6H]=[#7]\[#0:2])-[#0:3],3
O=C([O][R])[S][R],[#0:1]-[#8]-[#6](=[#8])-[#16]-[#0:2],3
[R][S]C([S][R])[S][R],[#0:1]-[#16]-[#6H](-[#16]-[#0:2])-[#16]-[#0:3],3
O=C(C=C([S][R])[S][R])[O][R],[#6H](-[#6](=[#8])-[#8]-[#0:1])=[#6](-[#16]-[#0:2])-[#16]-[#0:3],3
,[#0],3
[R][N]([R])C=CC=CC=CC=CC=[N+]([R])[R],[#0:1]-[#7+](=[#6H]/[#6]=[#6]/[#6]=[#6]/[#6]=[#6]/[#6]=[#6H]/[#7](-[#0:2])-[#0:3])-[#0:4],3
C=CC=CC=CC=CC=C,[#6H]=[#6H]/[#6]=[#6]/[#6]=[#6H]/[#6]=[#6]/[#6H]=[#6H2],3
C=CC=C1SC(=O)[N]([R])C1=O,[#6H](/[#6]=[#6]1\[#16]-[#6](=[#8])-[#7](-[#0:1])-[#6]-1=[#8])=[#6H],3
C=N[N]([R])C=N[S](=O)(=O)[R],[#6H2]=[#7]-[#7](-[#6H]=[#7]-[#16](=[#8])(=[#8])-[#0:1])-[#0:2],3
O=[C]([R])[Se][R],[#0:1]-[#6](=[#8])-[Se]-[#0:2],3
C=CC(=O)[C](=O)[R],[#0:1]-[#6](=[#8])-[#6](=[#8])-[#6]=[#6H],3
O=[C]([R])C=C([S][R])[N]([R])[R],[#0:1]-[#6](=[#8])-[#6]=[#6](-[#16]-[#0:2])-[#7](-[#0:3])-[#0:4],3
O=C([O][R])C([N]([R])[C](=O)[R])[N]([R])[C](=O)[R],[#0:1]-[#8]-[#6](=[#8])-[#6H](-[#7](-[#6](-[#0:2])=[#8])-[#0:3])-[#7](-[#6](-[#0:4])=[#8])-[#0:5],3
O=[C]([R])OC[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#0:2])-[#6H]-[#8]-[#6](-[#0:3])=[#8],3
O=[C]([R])C(O)[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6](-[#8])-[#6](=[#8])-[#0:2])-[#0:3],3
O=[C]([R])OC[N]([R])[S](=O)(=O)[R],[#0:1]-[#7](-[#6]-[#8]-[#6](=[#8])-[#0:2])-[#16](=[#8])(=[#8])-[#0:3],3
O=C([O][R])[N]([R])C[S][R],[#0:1]-[#8]-[#6](=[#8])-[#7](-[#6]-[#16]-[#0:2])-[#0:3],3
O=C(O)C1OC1C(=O)[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6H]1-[#8]-[#6H]-1-[#6](=[#8])-[#8])-[#0:2],3
O=[C]([R])C(=CC=N[S](=O)(=O)[R])[S][R],[#0:1]-[#16](=[#8])(=[#8])/[#7]=[#6H]/[#6]=[#6](-[#16]-[#0:2])-[#6](=[#8])-[#0:3],3
O=[C]1N=C([N]([R])C(=O)[N]([R])[R])[O][R]1,[#0:1]1-[#8]-[#6](-[#7](-[#6](=[#8])-[#7](-[#0:2])-[#0:4])-[#0:3])=[#7]-[#6]-1=[#8],3
O=[C]1N=C[S][R]1,[#0:1]1-[#16]-[#6H]=[#7]-[#6]-1=[#8],3
[R][N]1CN=C([N]([R])[R])[N]([R])C1,[#0:1]-[#7]1-[#6]-[#7]=[#6](-[#7](-[#0:2])-[#0:3])-[#7](-[#6]-1)-[#0:4],3
O=[P]([R])([R])[O][R],[#0:1]-[#8]-[#15](-[#0:2])(=[#8])-[#0:3],3
C=CC([O][R])OC[O][R],[#0:1]-[#8]-[#6H](-[#6]=[#6H])-[#8]-[#6H2]-[#8]-[#0:2],3
O=[C]1N=C([N]([R])[C](=O)[R])[S][R]1,[#0:1]1-[#16]-[#6](-[#7](-[#6](=[#8])-[#0:2])-[#0:3])=[#7]-[#6]-1=[#8],3
C=NOC[O][R],[#6H2]=[#7]-[#8]-[#6]-[#8]-[#0:1],3
O=[C]([R])N=c1cccc[n]1[R],[#0:2]-[#6](=[#8])-[#7]=[#6]1-[#6]=[#6]-[#6]=[#6]-[#7]-1-[#0:1],3
C=CN1C[N]([R])C(=S)[N]1[R],[#6H]=[#6H]-[#7]1-[#7](-[#0:1])-[#6](=[#16])-[#7](-[#0:2])-[#6H]-1,3
C=C[N]([R])[N]([R])C=C,[#6H2]=[#6H]-[#7](-[#7](-[#0:1])-[#6H]=[#6H2])-[#0:2],3
O=C(C=C[N]([R])C=C[N+](=O)[O-])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6H]=[#6H]-[#7](-[#6H]=[#6H]-[#7+](=[#8])-[#8-])-[#0:2],3
C=CC=CC=CC=CC=CC(=O)O,[#6H2]=[#6H]/[#6]=[#6]/[#6H]=[#6]/[#6]=[#6]/[#6H]=[#6]/[#6](=[#8])-[#8],3
N#CC=C[N]([R])C=CC#N,[#6H](=[#6H]-[#6]#[#7])-[#7](-[#6H]=[#6H]-[#6]#[#7])-[#0:1],3
[O-][Cl+3]([O-])([O-])O,[#8-]-[#17+3](-[#8-])(-[#8-])-[#8],3
C=C1C=CC(=[N][R])C=C1,[#6H]1=[#6]-[#6](=[#6H2])-[#6]=[#6]-[#6]-1=[#7]-[#0:1],3
O=C1C=CC(=NO[S](=O)(=O)[R])C=C1,[#6H]1=[#6]-[#6](=[#8])-[#6H]=[#6]-[#6]-1=[#7]-[#8]-[#16](=[#8])(=[#8])-[#0:1],3
O=P(O)([O][Na])[O][R],[#0:1]-[#8]-[#15](=[#8])(-[#8])-[#8]-[Na],3
O=C[N]([R])C=CS[C](=O)[R],[#6H](=[#6H]-[#16]-[#6](=[#8])-[#0:1])-[#7](-[#6]=[#8])-[#0:2],3
[R][N]([R])[N]=[Car],[#0:1]=[#7]-[#7](-[#0:2])-[#0:3],3
[R][O]C([O][R])C1CO1,[#6H2]1-[#8]-[#6H]-1-[#6H](-[#8]-[#0:1])-[#8]-[#0:2],3
O=[C]([R])[N]([R])C1=[N][R][C](=O)[N]1[R],[#0:1]-[#6](=[#8])-[#7](-[#6]1=[#7]-[#0:2]-[#6](=[#8])-[#7]-1-[#0:4])-[#0:3],3
O=[S](=O)([R])[N]([R])[Nar],[#0:1]-[#16](=[#8])(=[#8])-[#7](-[#7])-[#0:2],3
O=C1[N]([R])C[N]([R])[N]1[R],[#6H2]1-[#7](-[#6](=[#8])-[#7](-[#0:1])-[#7]-1-[#0:3])-[#0:2],3
O=[S](=O)([R])N=CCl,[#0:1]-[#16](=[#8])(=[#8])/[#7]=[#6H]/[#17],3
C=NN=C([S][R])[N]([R])[C](=O)[R],[#6H2]=[#7]-[#7]=[#6](-[#7](-[#6](=[#8])-[#0:1])-[#0:3])-[#16]-[#0:2],3
O=[C]([R])C=C([C](=O)[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#6]-[#6](=[#8])-[#0:2])-[#6](-[#0:3])=[#8])-[#0:4],3
[R][S]C(=N[N]([R])[CH]=[Car])[N]([R])[R],[#0:1]-[#7](-[#6](=[#7]-[#7](-[#6H]=[#0:2])-[#0:5])-[#16]-[#0:3])-[#0:4],3
O=[C]([R])[N]([R])C(=S)[N]([R])C[N]([R])[R],[#0:1]-[#7](-[#6H]-[#7](-[#6](=[#16])-[#7](-[#0:2])-[#6](=[#8])-[#0:3])-[#0:5])-[#0:4],3
O=[S](=O)([R])[N][S](=O)(=O)[R],[#8]=[#16](=[#8])(-[#7]-[#16](=[#8])(=[#8])-[#0:1])-[#0:2],3
[R][N]([R])C[N]([R])[N]([R])[R],[#0:1]-[#7](-[#7](-[#0:2])-[#6H]-[#7](-[#0:3])-[#0:5])-[#0:4],3
O=C([N]([R])[R])[N]([R])C[S](=O)(=O)[R],[#0:1]-[#7](-[#6](=[#8])-[#7](-[#0:2])-[#6]-[#16](-[#0:3])(=[#8])=[#8])-[#0:4],3
C=CC(C=CC(=O)[O][R])=CC(=O)[N]([R])[R],[#6H]=[#6H]-[#6](=[#6]-[#6](-[#7](-[#0:1])-[#0:2])=[#8])/[#6]=[#6]/[#6](=[#8])-[#8]-[#0:3],3
S=C1[N]([R])C[N]([R])[N]1[R],[#6H2]1-[#7](-[#6](=[#16])-[#7](-[#0:1])-[#7]-1-[#0:3])-[#0:2],3
O=[C]([R])N=c1sc([S][R])n[n]1[R],[#0:1]-[#16]-[#6]1=[#7]-[#7](-[#0:2])-[#6](=[#7]-[#6](-[#0:3])=[#8])-[#16]-1,3
O=C([O][R])[N](O)[R],[#0:1]-[#8]-[#6](=[#8])-[#7](-[#8])-[#0:2],3
O=C([N]([R])[R])[N]([R])C([O][R])[O][R],[#0:1]-[#7](-[#6](=[#8])-[#7](-[#6H](-[#8]-[#0:2])-[#8]-[#0:3])-[#0:5])-[#0:4],3
C=N[N]([R])C=O,[#0:1]-[#7](-[#6]=[#8])-[#7]=[#6H],3
O=C(C1OC1C(=O)[N]([R])[R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6H]1-[#8]-[#6H]-1-[#6](=[#8])-[#7](-[#0:2])-[#0:4])-[#0:3],3
O=C1C=C([N]([R])C([O][R])C2C[N]2[R])C(=O)C=C1[N]([R])[R],[#0:1]-[#7](-[#6]1=[#6H]-[#6](=[#8])-[#6](=[#6H]-[#6]-1=[#8])-[#7](-[#6H](-[#8]-[#0:2])-[#6H]1-[#7](-[#6H2]-1)-[#0:5])-[#0:3])-[#0:4],3
S=C(SSC(=S)[N]([R])[R])[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#6](=[#16])-[#16]-[#16]-[#6](=[#16])-[#7](-[#0:3])-[#0:4],3
ON=CC=NO,[#6H](=[#7]/[#8])\[#6H]=[#7]\[#8],3
O=C(C=C1[S][R][C](=O)[N]1[R])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6]=[#6]1-[#7](-[#6](=[#8])-[#0:2]-[#16]-1)-[#0:3],3
C=C[N]([R])[N]([R])C(=C)C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6H2])-[#7](-[#7](-[#0:2])-[#6H]=[#6H2])-[#0:3],3
O=C(C=C([O][R])[N]([R])[R])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6H]=[#6](-[#7](-[#0:3])-[#0:4])-[#8]-[#0:2],3
C=C[N]([R])[N]([R])C=CC(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6H]=[#6H]-[#7](-[#0:2])-[#7](-[#6H]=[#6H2])-[#0:3],3
