label,inferred_smarts,llm_output
O=[S](=O)([R])N=C([S][R])[N]([R])[R],O=S(=O)(*)N=C(S*)N(*)*,sulfonyl carbamimidothioate
O=[C]([R])[N]([R])CO,O=C(*)N(*)CO,n hydroxymethyl amide
O=[C]([R])[N]([R])C[N]([R])[S](=O)(=O)[R],O=C(*)N(*)CN(*)S(=O)(=O)*,sulfonamidomethyl amide
S=C([O][R])[N]([R])[R],S=C(O*)N(*)*,thiocarbamate
O=C1C=NCO1,O=C1C=NCO1,oxazolone
C#CC#C,C#CC#C,alkyl diacetylene
C=C(C#N)C#N,C=C(C#N)C#N,activated double bonds (4)
[R][N]=C[S][R],*N=CS*,thiocarbonyl imine
N#CC=C([O][R])[N]([R])[R],N#CC=C(O*)N(*)*,beta oxy beta tertiary amino acrylonitrile
OC[N]([R])[R],OCN(*)*,carbamate
O=C(C=C(O)C(=O)[O][R])[O][R],O=C(C=C(O)C(=O)O*)O*,2 hydroxybutenedioate
[R][N]1C[N]([R])C[N]([R])C1,*N1CN(*)CN(*)C1,"trisubstituted 1,3,5-triazinane"
O=[C]([R])[N]([R])CN([C](=O)[R])[C](=O)[R],O=C(*)N(*)CN(C(=O)*)C(=O)*,bis amide methylene amide
O=[C]([R])ON=C[N]([R])[R],O=C(*)ON=CN(*)*,o-acylisourea
C=C1SC(=O)N(C[N]([R])[R])C1=O,C=C1SC(=O)N(CN(*)*)C1=O,alkylidene aminomethyl thiazolidinedione
C=COCOC[O][R],C=COCOCO*,vinyl polyether
C=CC=NO,C=CC=NO,vinyl oxime
C=CC([O][R])[O][R],C=CC(O*)O*,allylic acetal
O=C([O][R])[N]([R])C[N]([R])C(=O)[O][R],O=C(O*)N(*)CN(*)C(=O)O*,methylene biscarbamate
O=C(C=C[N]([R])C(=S)[N]([R])[R])[O][R],O=C(C=CN(*)C(=S)N(*)*)O*,beta thioureido acrylate ester
C=C1C(=O)C=CC1=O,C=C1C(=O)C=CC1=O,alkylidene cyclopentenedione
O=P([O-])([O][R])[O][R],O=P([O&-])(O*)O*,anionic phosphate
O=S(=O)([O][R])[N]([R])[R],O=S(=O)(O*)N(*)*,sulfamate
[R][N+]([R])=[Car],*[N&+](*)=c,pyridinium nitrogen
O=C(C=NO)[N]([R])[R],O=C(C=NO)N(*)*,alpha oximino amide
C=CC=N[O][R],C=CC=NO*,vinyl oxime
O=[C]1[R][N](C(=O)[N]([R])[R])C[N]1[R],O=C1*N(C(=O)N(*)*)CN1*,heterocyclic imide carboxamide
O=C1C=CC(=O)C=C1,O=C1C=CC(=O)C=C1,para quinones
C=CCl,C=CCl,conjugated diene
O=P([O][R])([O][R])[O][R],O=P(O*)(O*)O*,phosphate
O=[S](=O)([R])[N]([R])C(=[N][R])[N]([R])[R],O=S(=O)(*)N(*)C(=N*)N(*)*,sulfonyl guanidine
O=C1SC([N]([R])[R])C(=O)[N]1[R],O=C1SC(N(*)*)C(=O)N1*,thiazolidinedione 5 tertiary amine n3 substituted
C=C1C(=O)[N]([R])C(=O)[N]1[R],C=C1C(=O)N(*)C(=O)N1*,5 alkylidene hydantoin
O=[C]1[R][N]([S](=O)(=O)[R])C=C[N]1[R],O=C1*N(S(=O)(=O)*)C=CN1*,sulfonyl dihydropyrazinone
O=C([N]([R])[R])[N]([R])[N]([R])[R],O=C(N(*)*)N(*)N(*)*,biuret
C=CC=C[NH][R],C=CC=C[N&H1]*,dienyl amine
C=C(C#N)C(=O)[O][R],C=C(C#N)C(=O)O*,cyanoacrylate ester
O=C(C=C([O][R])C(=O)[O][R])[O][R],O=C(C=C(O*)C(=O)O*)O*,2 oxy butenedioate
O=[C]([R])C=COC=C[C](=O)[R],O=C(*)C=COC=CC(=O)*,dicarbonyl divinyl ether
C=C(C(=O)[N]([R])[N]([R])[R])[N]([R])[C](=O)[R],C=C(C(=O)N(*)N(*)*)N(*)C(=O)*,α-ureido enamide
[R][N]([R])[Nar+],*N(*)[n&+],azolium tertiary amine
O=C(O)C(=O)[N]([R])[R],O=C(O)C(=O)N(*)*,substituted oxamate
C=C(C(=O)O)[N]([R])[C](=O)[R],C=C(C(=O)O)N(*)C(=O)*,2-acylamino acrylic acid
O=[C]([R])[N]([R])C=[N][R],O=C(*)N(*)C=N*,acylamidine
O=[C]([R])OC[N]([R])[R],O=C(*)OCN(*)*,aminoalkyl ester
S=C([N]([R])[R])[N]([R])C=[N][R],S=C(N(*)*)N(*)C=N*,thiourea imine
O=[C]([R])[N]([R])C[S](=O)(=O)[R],O=C(*)N(*)CS(=O)(=O)*,sulfonylmethyl amide
C=C(O)[C](=O)[R],C=C(O)C(=O)*,beta dicarbonyl enol
N#C[N]([R])C(=[N][R])[N]([R])[R],N#CN(*)C(=N*)N(*)*,cyanoguanidine
C=CC1=CC(=O)[N]([R])C1=C,C=CC1=CC(=O)N(*)C1=C,exocyclic diene lactam
O=[C]([R])[N]([R])[N]([R])C(=O)[O][R],O=C(*)N(*)N(*)C(=O)O*,tertiary hydrazine dicarboxylate
O=C(C(=C[S](=O)(=O)[R])[O][R])[N]([R])[R],O=C(C(=CS(=O)(=O)*)O*)N(*)*,enol sulfone amide
O=C(c1ccc[n]([R])c1=N[S](=O)(=O)[R])[N]([R])[R],O=C(c1cccn(*)c1=NS(=O)(=O)*)N(*)*,sulfonyl imine pyridine carboxamide
C=C(Cl)Cl,C=C(Cl)Cl,gem-dichloro terminal double bond
O=[C]1C=C([N]([R])[R])[N]([N]([R])[C](=O)[R])[R]1,O=C1C=C(N(*)*)N(N(*)C(=O)*)*1,barbiturate core
C=N[S](=O)(=O)[R],C=NS(=O)(=O)*,sulfonyl imine
C=[N+]([R])[R],C=[N&+](*)*,iminium
[O-][Car],[O&-]c,phenolate
C=CC=CC=CC=C,C=CC=CC=CC=C,naphthalene
O=[N+]([O-])[O][R],O=[N&+]([O&-])O*,nitrates
O=C1C(=N[N]([R])[R])C=N[N]1[R],O=C1C(=NN(*)*)C=NN1*,pyrazolone hydrazone
O=[C]([R])OCO,O=C(*)OCO,acetal ester
O=[C]1[R][N]([R])C(=S)[N]1[R],O=C1*N(*)C(=S)N1*,thiohydantoin
O=C([O][R])C(=O)[N]([R])[R],O=C(O*)C(=O)N(*)*,oxamate
N#CN=C([N]([R])[R])[N]([R])[R],N#CN=C(N(*)*)N(*)*,cyanoguanidine
[R][N]([R])C=CC=[N+]([R])[R],*N(*)C=CC=[N&+](*)*,trimethine cyanine core
O=C([O][R])C(=C[N]([R])[R])C(=O)[O][R],O=C(O*)C(=CN(*)*)C(=O)O*,aminomethylidene malonate
N#C[S][R],N#CS*,thiocyanates
O=C(C=C[S][R])[N]([R])[R],O=C(C=CS*)N(*)*,vinyl thioether amide
O=[S](O)[R],O=S(O)*,sulfinic acid derivatives
[R][N]([R])C=[N][Nar],*N(*)C=Nn,heteroaryl amidine
O=[C]1[R][O]C[N]1[R],O=C1*OCN1*,oxazolidinone
C=CC(=O)[N](O)[R],C=CC(=O)N(O)*,"α,β-unsaturated hydroxamic acid"
O=S1(=O)N=CC=C[N]1[R],O=S1(=O)N=CC=CN1*,"1,2,6-thiadiazine 1,1-dioxide"
O=C(C=N[N]([R])C(=O)[N]([R])[R])[N]([R])[R],O=C(C=NN(*)C(=O)N(*)*)N(*)*,dicarboxamide hydrazone
O=C([N]([R])[R])[N]([R])[N](O)[R],O=C(N(*)*)N(*)N(O)*,hydroxyamino urea
C=CC(=[N][R])[N]([R])[R],C=CC(=N*)N(*)*,"α,β-unsaturated amidine"
C=N[N]([R])C(=O)C(=C)[N]([R])[C](=O)[R],C=NN(*)C(=O)C(=C)N(*)C(=O)*,acylhydrazone enaminone amide
O=C(C=CN=CC=C(O)[O][R])[O][R],O=C(C=CN=CC=C(O)O*)O*,peroxy azahexatrienoate ester
[Na][O][R],[#11]O*,sodium oxygen bond
O=C(O)C(=C[S][R])[N]([R])[C](=O)[R],O=C(O)C(=CS*)N(*)C(=O)*,penam core
O=CC=CC(=O)O,O=CC=CC(=O)O,unsaturated dicarbonyl acid
O=[C]([R])[N]([R])[N]([R])C=[N][R],O=C(*)N(*)N(*)C=N*,amidino hydrazide
S=C([S][R])[N]([R])[R],S=C(S*)N(*)*,dithiocarbamate
C=CC=[N][R],C=CC=N*,enimine
C#C[N]([R])[S](=O)(=O)[R],C#CN(*)S(=O)(=O)*,ethynyl sulfone on ring
O=C(O)C(=O)[O][R],O=C(O)C(=O)O*,oxalic acid monoester
C=C1C=CC(=[N+]([R])[R])C=C1,C=C1C=CC(=[N&+](*)*)C=C1,quinone methide iminium
C=CC=CC=C[C](=O)[R],C=CC=CC=CC(=O)*,polyene carbonyl
C=C([O][R])C(=O)[N]([R])[R],C=C(O*)C(=O)N(*)*,enol amide
O=[C]1[R][N]([R])S(=O)(=O)[N]1[R],O=C1*N(*)S(=O)(=O)N1*,thiadiazolidinone sulfone
O=S(=O)(N=[S](=O)([R])[R])[N]([R])[R],O=S(=O)(N=S(=O)(*)*)N(*)*,sulfonimidoyl sulfonamide
O=C([O][R])C(O)=CO,O=C(O*)C(O)=CO,dihydroxy enol ester
C#CC=C,C#CC=C,enyne
O=[S](=O)(Cl)[R],O=S(=O)(Cl)*,sulfonyl chloride
O=[C]([R])C=C[N]([R])C(=O)[N]([R])[R],O=C(*)C=CN(*)C(=O)N(*)*,dioxo vinyl urea fragment
O=[C]([R])C([N]([R])[R])[N]([R])[C](=O)[R],O=C(*)C(N(*)*)N(*)C(=O)*,n-substituted hydrazine dipeptide
O=C([O][R])[N]([R])[N]([R])[R],O=C(O*)N(*)N(*)*,carbazate
O=[C]1[R][N]=C[N]1[R],O=C1*N=CN1*,azolone
O=[C]1[R][N]=C([N]([R])[R])[N]1[R],O=C1*N=C(N(*)*)N1*,2 amino imidazol 5 one
O=C([N]([R])[R])[N]([R])C=[N][R],O=C(N(*)*)N(*)C=N*,biguanide
O=C(C(=C[O][R])[S][R])[N]([R])[R],O=C(C(=CO*)S*)N(*)*,alkylthio alkoxy vinyl amide
O=C(C=CC(=O)[N]([R])[R])[O][R],O=C(C=CC(=O)N(*)*)O*,carbamoyl acrylate ester
C=C1C=N[N]([R])C1=O,C=C1C=NN(*)C1=O,pyrazolone methylidene
F[S](F)(F)(F)(F)[R],FS(F)(F)(F)(F)*,pentafluorosulfanyl
O=[C]1N=C([N]([R])[R])[N]([R])[R]1,O=C1N=C(N(*)*)N(*)*1,triazolone
O=[N+]([O-])C=C[N]([R])[R],O=[N&+]([O&-])C=CN(*)*,nitro enamine
O=[C]1[R][N]([S](=O)(=O)[R])C[N]1[R],O=C1*N(S(=O)(=O)*)CN1*,sulfonyl imidazolidinone
O[N]=[Car],ON=c,aromatic carbon oxime
C=NC[N](O)[R],C=NCN(O)*,hydroxyaminoalkyl imine
O=[C]([R])C([O][R])[N]([R])[C](=O)[R],O=C(*)C(O*)N(*)C(=O)*,hydroxy amino acid residue
O=[N+]([O-])C=C([N]([R])[R])[N]([R])[R],O=[N&+]([O&-])C=C(N(*)*)N(*)*,nitrovinyl diamines
O=N[N]([R])C(=O)[N]([R])[R],O=NN(*)C(=O)N(*)*,n-nitroso ureas
O=S(=O)(O)[N]([R])[R],O=S(=O)(O)N(*)*,sulfamate
O=S(=O)([O][Na])[O][R],O=S(=O)(O[#11])O*,sodium sulfate
O=P([O][R])([O][R])[N]([R])[R],O=P(O*)(O*)N(*)*,phosphoramidate diester
O=C1[S][R][C](=O)N1C[N]([R])[R],O=C1S*C(=O)N1CN(*)*,thiazolidinedione aminomethyl
C=COC[O][R],C=COCO*,amide with alpha hydrogen
[R][N]1CC1,*N1CC1,aziridine ring
O=C(C=C[N]([R])[C](=O)[R])[N]([R])[R],O=C(C=CN(*)C(=O)*)N(*)*,enaminone amide
O=[S](=O)(F)[R],O=S(=O)(F)*,sulfonyl fluoride
[R][N]=C([N]([R])[R])[N]([R])[N]([R])[R],*N=C(N(*)*)N(*)N(*)*,aminoguanidine
O=[C]([R])C=CC(=O)[O][R],O=C(*)C=CC(=O)O*,conjugated dicarbonyl
C#CC([O][R])([O][R])[O][R],C#CC(O*)(O*)O*,alkyne triol
O=C1C=NC[N]1[R],O=C1C=NCN1*,imidazolone
OC(=[N][R])[O][R],OC(=N*)O*,imidocarbonate
O=C(C([N]([R])[R])[N]([R])[C](=O)[R])[N]([R])[R],O=C(C(N(*)*)N(*)C(=O)*)N(*)*,"alpha,alpha-diamino amide"
O=[C]1N=C([S][R])[N]([R])[C](=O)[R]1,O=C1N=C(S*)N(*)C(=O)*1,thiobarbiturate core
O=C([N]([R])[R])[N]([R])C(=O)[N]([R])[S](=O)(=O)[R],O=C(N(*)*)N(*)C(=O)N(*)S(=O)(=O)*,sulfonamide amide urea
S=C1SC[N]([R])C[N]1[R],S=C1SCN(*)CN1*,"1,3,5-thiadiazinane-2-thione"
O=C([N]([R])[R])[N]([R])C(=[N][R])[S][R],O=C(N(*)*)N(*)C(=N*)S*,acyl thiosemicarbazide
O=C1[O][R][C](=O)[N]1[R],O=C1O*C(=O)N1*,"oxazolidine-2,4-dione and analogues"
O=C(C(=CO)[N]([R])[S](=O)(=O)[R])[N]([R])[R],O=C(C(=CO)N(*)S(=O)(=O)*)N(*)*,hydroxy sulfonamido keto amide
O=C1OCOC(=O)C1=C[N]([R])[R],O=C1OCOC(=O)C1=CN(*)*,meldrum acid enamine
[R][O][O][R],*OO*,peroxide
O=C(C=N[N]([R])[R])[O][R],O=C(C=NN(*)*)O*,hydrazone carboxylic ester
O=C(C=CN=C([S][R])[N]([R])[C](=O)[R])[O][R],O=C(C=CN=C(S*)N(*)C(=O)*)O*,vinylamidine thioether ester
C#CC([O][R])[O][R],C#CC(O*)O*,alkyne geminal diol
C=C(C#N)P(=O)([O][R])[O][R],C=C(C#N)P(=O)(O*)O*,cyanovinyl phosphonate
S=P([O][R])([O][R])[O][R],S=P(O*)(O*)O*,phosphorothioate triester
ClC=C(Cl)Cl,ClC=C(Cl)Cl,"1,1,2-trichloroethene"
O=C(C([O][R])[O][R])[N]([R])[R],O=C(C(O*)O*)N(*)*,alpha gem dioxy amide
C=NC(C(=O)[N]([R])[R])[N]([R])C(=O)[N]([R])[R],C=NC(C(=O)N(*)*)N(*)C(=O)N(*)*,heterocyclic geminal diamide
C=C1C(=O)[N]([R])C=C1C(=O)[O][R],C=C1C(=O)N(*)C=C1C(=O)O*,alkylidene pyrrolone carboxylate
O=C(C=C(C=NO)[N]([R])[R])[N]([R])[R],O=C(C=C(C=NO)N(*)*)N(*)*,"4-amino-1,2-oxazole-5-carboxamide"
C=N[N]1[R][C](=O)[N]([R])C1=O,C=NN1*C(=O)N(*)C1=O,n imine hydantoin
[R][O]CO[Si]([R])([R])[R],*OCO[#14](*)(*)*,silyl carbonate
[R][B]([R])[R],*B(*)*,trigonal boron
O=P(O)([O][R])OP(=O)(O)[O][R],O=P(O)(O*)OP(=O)(O)O*,pyrophosphate linkage
O=P([O-])([O][R])OP(=O)(O)[O][R],O=P([O&-])(O*)OP(=O)(O)O*,pyrophosphate acid or ester
C=C([O][R])C(=O)O,C=C(O*)C(=O)O,enol carboxylate
[Sb-],[#51&-],antimony anion
F[B-](F)(F)[R],F[B&-](F)(F)*,trifluoroborate
O=[C]([R])C=C1C=CC=N[N]1[R],O=C(*)C=C1C=CC=NN1*,dihydropyridazine vinyl ketone
[N-]=[N+]=CC(=O)[O][R],[N&-]=[N&+]=CC(=O)O*,alpha-diazo carbonyl acids and esters
O=C(C=CO)[O][R],O=C(C=CO)O*,beta-hydroxy acrylate ester
O=C([O][R])[N]([R])CO,O=C(O*)N(*)CO,n hydroxymethyl carbamate
O=[C]([R])C=NC(C(=O)[N]([R])[R])[N]([R])[R],O=C(*)C=NC(C(=O)N(*)*)N(*)*,diamino substituted enaminone
C=C[N]([R])[N]([R])[R],C=CN(*)N(*)*,alkenyl hydrazine
O=[C]([R])OC=C[O][R],O=C(*)OC=CO*,vinyl ether ester
N#CC(=CO)C(=O)[N]([R])[R],N#CC(=CO)C(=O)N(*)*,alpha cyano beta oxy acrylamides
C=CC=CC(=O)C=C,C=CC=CC(=O)C=C,polyene ketone
O=[C]([R])C=NO,O=C(*)C=NO,hydroxyimino carbonyl
C=CO,C=CO,vinyloxy
C=CC=C(C(=O)O)N(C[S][R])[C](=O)[R],C=CC=C(C(=O)O)N(CS*)C(=O)*,conjugated diene carbamate ester
[R][N]=CC=[N][R],*N=CC=N*,diazabutadiene
C=C[N]([R])[N]([R])[C](=O)[R],C=CN(*)N(*)C(=O)*,vinyl hydrazide
C=C[S][R],C=CS*,vinyl sulfide
C=CC1=CC(=C)[N]([R])C1=O,C=CC1=CC(=C)N(*)C1=O,vinyl methylidene lactam
O=[C]([R])C(Cl)=C([C](=O)[R])[N]([R])[R],O=C(*)C(Cl)=C(C(=O)*)N(*)*,chloro enone carbonyl amide
O=C([O][R])[N]([R])[N]([R])C(=O)[O][R],O=C(O*)N(*)N(*)C(=O)O*,hydrazine dicarboxylate
O=C[N]([R])C[S](=O)(=O)[R],O=CN(*)CS(=O)(=O)*,ortho ring nitrogen benzenesulfonate
O=[C]([R])O[N]([R])[R],O=C(*)ON(*)*,oxazolone
C#C[C](=O)[R],C#CC(=O)*,alkynyl carbonyl
[R][O]C([O][R])C([O][R])[O][R],*OC(O*)C(O*)O*,vicinal geminal diols
[R][N]=C[N]([R])[N]([R])[R],*N=CN(*)N(*)*,amidrazone
O=[C]1C=CO[C](=O)[R]1,O=C1C=COC(=O)*1,"dihydropyran-2,4-dione"
O=C(C([N]([R])[R])[N]([R])[S](=O)(=O)[R])[N]([R])[R],O=C(C(N(*)*)N(*)S(=O)(=O)*)N(*)*,sulfamoyl diaminocarboxamide
C=C([C](=O)[R])[N]([R])[R],C=C(C(=O)*)N(*)*,vinyl amino carbonyl
C=C(C(=O)[O-])N(C[S][R])[C](=O)[R],C=C(C(=O)[O&-])N(CS*)C(=O)*,cephalosporin core
O=C(C(=N[N]([R])[R])[S](=O)(=O)[R])[N]([R])[R],O=C(C(=NN(*)*)S(=O)(=O)*)N(*)*,sulfonyl hydrazone amide
O=[S](=O)([R])[N]([R])C1=NC[N]([R])C[N]1[R],O=S(=O)(*)N(*)C1=NCN(*)CN1*,dihydrotriazinyl sulfonamide
O=C(C=CC(=O)[O][R])[O][R],O=C(C=CC(=O)O*)O*,but-2-enedioate diester
O=[S]([R])[O][R],O=S(*)O*,sulfurous acid derivative
O=C1C(=C[N]([R])[R])C(=O)[N]([R])C(=O)[N]1[R],O=C1C(=CN(*)*)C(=O)N(*)C(=O)N1*,5-aminomethylene barbiturates
C=NN1[C](=O)[R][N]([R])C1=O,C=NN1C(=O)*N(*)C1=O,imino triazolidinedione
C=C[N]([R])C(=S)[N]([R])[R],C=CN(*)C(=S)N(*)*,alkyl thiourea michael acceptor
O=[S](=O)([R])N=C([N]([R])[R])[N]([R])[R],O=S(=O)(*)N=C(N(*)*)N(*)*,sulfonyl guanidine
O=C([N]([R])[R])[N]([R])C[N]([R])[R],O=C(N(*)*)N(*)CN(*)*,urea methylenediamine
O=[S](=O)([R])C[N]([R])[R],O=S(=O)(*)CN(*)*,sulfonyl alkyl amine
O=[S]([R])O[N]([R])[R],O=S(*)ON(*)*,sulfamic acid zwitterion
C=C1C(=O)[N]([R])[N]([R])C1=O,C=C1C(=O)N(*)N(*)C1=O,alkylidene pyrazolidinedione
O=[S](=O)([R])[N]([R])C(=[N][R])[S][R],O=S(=O)(*)N(*)C(=N*)S*,sulfonamide thioimidate
O=[C]1C=C([N]([R])[C](=O)[R])[N]([R])[R]1,O=C1C=C(N(*)C(=O)*)N(*)*1,cyclic enone amide
C=C1C(=O)[N]([R])C(=S)[N]([R])C1=O,C=C1C(=O)N(*)C(=S)N(*)C1=O,5-alkylidene-2-thiobarbituric acid
O=[S](=O)([Nar])[N]([R])[R],O=S(=O)(n)N(*)*,heterocyclic tertiary sulfonamide
N#CC([C](=O)[R])=C([N]([R])[R])[N]([R])[R],N#CC(C(=O)*)=C(N(*)*)N(*)*,cyano carbonyl michael acceptor
[Sear],[#34],selen
C=C1C=CC=N1,C=C1C=CC=N1,2h-pyrrole
C=C([C](=O)[R])[C](=O)[R],C=C(C(=O)*)C(=O)*,gem-diacyl alkene
O=[C]1[R][C](=O)[N]([R])[N]1[R],O=C1*C(=O)N(*)N1*,triazolidinedione core
O=C([O][R])[N]([R])C=[N][R],O=C(O*)N(*)C=N*,n-amidino carbamate
O=N[N]([R])[R],O=NN(*)*,nitrosamine
O=C(C=C1SC(=S)[N]([R])C1=O)[N]([R])[R],O=C(C=C1SC(=S)N(*)C1=O)N(*)*,tert amide vinyl rhodanine
C=C([O][R])C(=O)[O][R],C=C(O*)C(=O)O*,hydroxy acrylic acid
C=N[N]([R])C[O][R],C=NN(*)CO*,n-alkoxymethylhydrazone
C=C(C(=O)[O][R])[N]([R])[C](=O)[R],C=C(C(=O)O*)N(*)C(=O)*,beta tertiary amido acrylate
O=[C]([R])C(=N[N]([R])[R])C(=O)[O][R],O=C(*)C(=NN(*)*)C(=O)O*,hydrazinylidene malonate
N#CC(C(=O)[O][R])=C1C=CC=N[N]1[R],N#CC(C(=O)O*)=C1C=CC=NN1*,pyridazin-6-ylidene cyanoacetate
O=C([O][R])C(=N[N]([R])[R])[N]([R])[R],O=C(O*)C(=NN(*)*)N(*)*,alpha-hydrazono ester
O=[C]([R])C=COC(=CC(=O)[O][R])[N]([R])[R],O=C(*)C=COC(=CC(=O)O*)N(*)*,2-amino-4h-pyran-3-carboxylate
[R][N]([R])C=N[N]([R])[R],*N(*)C=NN(*)*,amidrazone
O=[C]([R])N([C](=O)[R])[N]([R])[R],O=C(*)N(C(=O)*)N(*)*,n-amino imide
C=C(C(=O)[N]([R])[R])[N]([R])[R],C=C(C(=O)N(*)*)N(*)*,amino carbamoyl vinyl
O=C([N]([R])[R])[N]([R])OC[O][R],O=C(N(*)*)N(*)OCO*,alkoxyalkyl urea
O=[C]([R])N(C[S][R])[C](=O)[R],O=C(*)N(CS*)C(=O)*,n-sulfanylmethyl dicarbonyl
C=CC(=O)[N]([R])[C](=O)[R],C=CC(=O)N(*)C(=O)*,n-acyl acrylamide
OCOC[O][R],OCOCO*,acetal chain
O=C(C(Cl)=C(Cl)[S](=O)[R])[N]([R])[R],O=C(C(Cl)=C(Cl)S(=O)*)N(*)*,dichloro sulfinyl enamide
O=[C]([R])[N]([R])S(=O)(=O)[O][R],O=C(*)N(*)S(=O)(=O)O*,acyl sulfamate
O=[C]([R])C=C(O)[C](=O)[R],O=C(*)C=C(O)C(=O)*,13 dicarbonyl enol
[R][N][Car],*Nc,pyrrole ring
[R][I+][R],*[I&+]*,iodonium
[R][Fe][R],*[#26]*,iron coordination
C=CN(C=CC(=O)[N]([R])[R])C[O][R],C=CN(C=CC(=O)N(*)*)CO*,vinyl enaminone ether
O=P(O)(O)OP(=O)(O)[O][R],O=P(O)(O)OP(=O)(O)O*,pyrophosphate
O=C(C(=O)[N]([R])C(=O)[N]([R])[R])[N]([R])[R],O=C(C(=O)N(*)C(=O)N(*)*)N(*)*,oxamide carboxamide
O=[C]([R])C(=N[N]([R])[R])[C](=O)[R],O=C(*)C(=NN(*)*)C(=O)*,"1,3-dicarbonyl hydrazone"
C=CC=[N][Nar],C=CC=Nn,vinyl imino aromatic nitrogen
O=C([O][R])[N]([R])[S](=O)(=O)[R],O=C(O*)N(*)S(=O)(=O)*,n-sulfonylcarbamate
C#CC(=O)[O][R],C#CC(=O)O*,alkyne carboxylate
O=[S](=O)([R])C[S](=O)(=O)[R],O=S(=O)(*)CS(=O)(=O)*,bis sulfonyl methyl
O=[C]([R])[O][K],O=C(*)O[#19],potassium carboxylate
[Cl][Pt-2]([Cl])([Nar+])[Nar+],Cl[#78&-2](Cl)([n&+])[n&+],dianionic platinum with two cl and two aromatic n+
C=CC=CC(=O)[N]([R])C([C](=O)[R])=C1C=NC[N]1[R],C=CC=CC(=O)N(*)C(C(=O)*)=C1C=NCN1*,dienamido ketovinyl dihydroimidazole
C=C(Cl)C=C[C](=O)[R],C=C(Cl)C=CC(=O)*,chloro substituted conjugated dienone
O=[S](=O)([R])C(=C[N]([R])[R])[N]([R])[R],O=S(=O)(*)C(=CN(*)*)N(*)*,diamino imidazole sulfone
C=CC=N[N]([R])C(=O)[N]([R])[R],C=CC=NN(*)C(=O)N(*)*,conjugated semicarbazone
O=[C]1[R][C](=O)[N]([R])C(=S)[N]1[R],O=C1*C(=O)N(*)C(=S)N1*,sulfanylidene dione heterocycle
O=S(=O)(N=[S](=O)([R])[N]([R])[R])[N]([R])[R],O=S(=O)(N=S(=O)(*)N(*)*)N(*)*,sulfonimidoyl sulfonamide
C=C(C(=O)[N]([R])C(=C)C(=O)[N]([R])[R])[N]([R])[C](=O)[R],C=C(C(=O)N(*)C(=C)C(=O)N(*)*)N(*)C(=O)*,bis acrylamide substructure
C=C(C(=[N][R])[S][R])[N]([R])[C](=O)[R],C=C(C(=N*)S*)N(*)C(=O)*,thioimidate carbamoyl vinyl
C=CSC(=[N][R])[N]([R])[C](=O)[R],C=CSC(=N*)N(*)C(=O)*,vinyl thioamidine carbonyl
[R][S]S[S][R],*SSS*,trisulfide
C=C[N]([R])C(=O)[N]([R])[R],C=CN(*)C(=O)N(*)*,vinyl urea
C=CC(=O)[N]([R])C(=O)[O][R],C=CC(=O)N(*)C(=O)O*,n-acyl carbamate acrylamide
O=[C]([R])N(O)[C](=O)[R],O=C(*)N(O)C(=O)*,n-hydroxy imide
[R][N]=[P]([R])([R])[R],*N=P(*)(*)*,phosphine imine
O=[C]([R])N([O][R])[C](=O)[R],O=C(*)N(O*)C(=O)*,n-acyloxy-n-acylamine
O=[C]([R])O[I]([R])O[C](=O)[R],O=C(*)OI(*)OC(=O)*,diacyloxy iodane
C=CC([S][R])[S][R],C=CC(S*)S*,allylic bis(sulfide)
[R][N]1CSCSC1,*N1CSCSC1,"1,3,5 dithiazinane"
O=C([N](O)[R])[N]([R])[R],O=C(N(O)*)N(*)*,alkoxy tert amine urea
C=CC=N[N]([R])[S](=O)(=O)[R],C=CC=NN(*)S(=O)(=O)*,conjugated sulfamoyl hydrazone
O=[C]([R])[N]([R])C[N]([R])C(=O)[N]([R])[C](=O)[R],O=C(*)N(*)CN(*)C(=O)N(*)C(=O)*,amide methylene acylurea
O=[C]1[R][N]([C](=O)[R])C=C[N]1[R],O=C1*N(C(=O)*)C=CN1*,n-acyl quinoxalinone
O=C1C([N]([R])[C](=O)[R])[N]([R])C(=O)[N]1[R],O=C1C(N(*)C(=O)*)N(*)C(=O)N1*,hydantoin 4 acylurea
O=[C]([R])OC[S][R],O=C(*)OCS*,sulfanylalkyl ester
O=[C]([R])[N]([R])C(=O)[N]([R])C[N]([R])[S](=O)(=O)[R],O=C(*)N(*)C(=O)N(*)CN(*)S(=O)(=O)*,bisamide methylene sulfonamide
O=C([N]=[Car])[N]([R])[R],O=C(N=c)N(*)*,aromatic imidoyl urea
N#CC(=C[N]([R])[R])[C](=O)[R],N#CC(=CN(*)*)C(=O)*,cyano enamino carbonyl
C=NC(C(=O)[N]([R])[R])[N]([R])[C](=O)[R],C=NC(C(=O)N(*)*)N(*)C(=O)*,hydrazone diamide
C=CC=C([O][R])[N]([R])[R],C=CC=C(O*)N(*)*,hydroxypyridone
O=[C]([R])C=C[N]([R])C(=S)[N]([R])[R],O=C(*)C=CN(*)C(=S)N(*)*,thioureido enone
[R][O]C=C[O][R],*OC=CO*,enol ether
O=C(C=N[N]([R])[C](=O)[R])[O][R],O=C(C=NN(*)C(=O)*)O*,acyl hydrazone ester
O=[S](=O)([R])[N]=[Car],O=S(=O)(*)N=c,sulfonyl aromatic imine
